Sample,Other_Alphaproteobacteria,Parvibaculaceae,Magnetospiraceae,Parvularculaceae,Kiloniellaceae,Nisaeaceae_OM75_clade,Aestuariispira,Beijerinckiaceae,Methylobacterium,Hellea,Rhizobiales,Devosiaceae,Rhodospirillales_AEGEAN_169_marine_group,Pseudahrensia,Bradyrhizobium,Sedimentitalea,Euryhalocaulis,Robiginitomaculum,Kordiimonadales,Parvibaculales_PS1_clade,Roseobacter_clade_NAC11_7_lineage,unknown_Alphaproteobacteria,SAR11_clade,Rhodobacteraceae
ECf11,0.0049316,0,0.0007941,0,0.0001672,0.0009195,0,0.0000418,0,0,0.0000418,0.000209,0.0022986,0.0005433,0.0000418,0.0000836,0,0.0002926,0.000209,0.0013792,0.0000836,0.0082333,0.0829179,0.0031763
bkMV,0.011392,0,0.0056115,0,0,0,0.0002028,0.0018254,0,0,0.0001352,0,0.0130822,0,0.0101075,0.0003718,0,0,0,0,0.0000338,0.0152119,0.0661887,0.0023325
bkEC,0.0067061,0,0.0011058,0,0,0.000321,0,0,0,0,0.000107,0.0000357,0.0059927,0.0000357,0,0,0,0,0,0.0000357,0,0.006492,0.06995,0.0005351
bkEM,0.0038115,0,0.0020473,0,0,0,0,0.0054451,0,0,0.0003049,0,0.0091913,0,0.0002614,0,0,0,0,0,0,0.0103238,0.1002546,0.0001525
EMf3,0.0028731,0,0.0008489,0,0.0000218,0.0031343,0,0,0,0,0.0000218,0,0.0010665,0,0,0,0,0,0,0.0003047,0,0.004375,0.26879,0.0052674
EMf2,0.004745,0,0.0014463,0,0.0000254,0.0066735,0,0,0.0000507,0,0.0001269,0,0.0014463,0,0.0001522,0,0,0,0,0.0007359,0,0.0070287,0.3582107,0.0054555
ECf9,0.0040896,0,0.0013012,0,0,0.0014561,0,0.0001239,0,0,0.000062,0,0.0047712,0.000062,0.0000929,0,0,0.0001239,0,0.0006506,0.0001859,0.0059795,0.1000712,0.0015491
EMf1,0.0039593,0,0.0003894,0,0.0000325,0.0022717,0,0.0000649,0,0,0.0000649,0.0000325,0.0026287,0.0000325,0.0000649,0,0,0.0000325,0,0.0002921,0.0001623,0.0045435,0.1400365,0.0036348
EMf7,0.0088539,0,0.0010989,0,0.0000314,0.004113,0.0000314,0,0,0,0.000157,0,0.0046153,0.000157,0.0004082,0,0,0.0000314,0.0000628,0.0007535,0.0000314,0.007912,0.1847697,0.0061852
MVf12,0.0061787,0.0003574,0.0000511,0.0000511,0,0,0,0,0.0000511,0.0000511,0.0000511,0.0006128,0.0001021,0.0010213,0,0.0013787,0.0235404,0.0155745,0.0050043,0.0017872,0.0154724,0.0110809,0.0008681,0.4584514
MVw12,0.0067129,0.0001924,0.0000214,0,0,0,0,0,0.0000214,0,0.0000855,0,0,0.0042116,0,0.0005131,0.0060501,0.0008124,0.007568,0.019369,0.0023089,0.1880891,0.0000214,0.3348105
EMw1,0.0046132,0.0006221,0.0002524,0.0007513,0.0011034,0.0000704,0.0000059,0.009555,0.0098602,0.0009097,0.0016492,0.0033396,0.0000235,0.0031752,0.0004813,0.0017549,0.0005693,0.0063446,0.0071545,0.0021599,0.0029698,0.0176662,0.0020601,0.0107758
ECw10,0.0006671,0,0,0,0.0000556,0,0,0,0,0,0.0002594,0.0000185,0,0.0001668,0.0008525,0.0000927,0,0.0000371,0,0.0001668,0.000278,0.0007042,0,0.0005745
EMw7,0.0001143,0,0,0,0,0,0,0.0000327,0,0,0,0,0,0,0.0000327,0.000098,0,0,0,0.0000163,0.0000163,0.000049,0.0000326,0.0003756
EMw4,0.0000167,0,0,0,0,0,0,0.0002165,0.0002165,0.0000167,0.0000833,0.0000333,0,0.0000333,0.0000167,0,0,0,0.0000666,0,0.0000666,0.0000666,0.0000334,0.0006495
EMw8,0.0000443,0,0,0,0,0,0,0.0000738,0.0000295,0,0.0000443,0.0000148,0,0,0.0000148,0.0000148,0,0,0,0,0.0002067,0.0003543,0.0000148,0.0006495
MVw13,0.0047387,0.0004878,0.0002091,0.0001045,0.0001394,0,0.0086411,0.0000348,0,0,0.0004878,0.0042509,0,0.0138327,0.0001045,0.0009756,0.0002787,0.0044948,0.0103833,0.0045993,0.0471079,0.0217073,0.0005575,0.0286411
ECw11,0.0074976,0,0.0002873,0.0001149,0.0005745,0.0002011,0.0000862,0.0001724,0.0000287,0.0007469,0.0009767,0.0061762,0.0001149,0.0094797,0.0003447,0.0041366,0.000316,0.0031025,0.0018385,0.0066358,0.010083,0.0250207,0.0039068,0.0363964
ECw9,0.0028942,0.000014,0.0001054,0.0000281,0.0001124,0,0.0000211,0,0,0,0.0002388,0.0027748,0,0.0056971,0.0002459,0.0033297,0.0003091,0.0020302,0.0014612,0.0013417,0.0094553,0.0109095,0.000021,0.029216
EMw3,0.0258322,0.0007191,0.0003135,0.0018807,0.0044621,0,0.0000738,0.0000369,0,0.0118928,0.0034111,0.0088504,0,0.0154882,0.0026736,0.0043883,0.0014566,0.023933,0.030829,0.0154882,0.0049415,0.0969674,0.0000922,0.0494886
EMw6,0.023833,0.0051148,0.0021112,0.0037654,0.0064643,0,0,0.0000218,0,0.0023289,0.0119709,0.0126456,0,0.0142345,0.0181305,0.0079661,0.0030471,0.0255524,0.0352597,0.0090543,0.0225488,0.0889764,0.0001307,0.0516272
EMw2,0.0191863,0.0002359,0.000249,0.0006946,0.0004456,0,0,0.0000655,0.0000131,0.0000262,0.003984,0.0015464,0,0.0074701,0.0005111,0.0227378,0.0013761,0.0060023,0.0012057,0.0207327,0.0266957,0.0697599,0.0000131,0.2850551
EMw5,0.0123946,0.0002773,0.0001386,0.0060171,0.0042425,0,0,0.0001109,0.0000555,0.0002496,0.0018855,0.0073203,0,0.015417,0.0009428,0.0191049,0.0026065,0.0149179,0.0186335,0.0412045,0.0240129,0.0853206,0.0000555,0.1019854
