,EMf3, ECf11, EMf1, EMf7, MVf12, EMf2, ECf9, bkEC, bkEM, bkMV, EMw3, EMw6, EMw1, EMw4, EMw7, EMw8, MVw12, EMw2, EMw5, ECw9, ECw10, MVw13
Otu00001,15877,7417,2334,26054,29508,18470,7129,3393,4076,6183,86696,131023,225100,381,115,175,11231,61428,97000,2751,109,23
Otu00002,22252,24404,19303,166108,47913,9912,66783,51193,62049,40026,17,42,11211,1749,751,779,1706,93,59,318,1055,316
Otu00003,0,11,0,0,0,0,8,5,0,3,0,0,0,0,0,0,7,0,0,0,1,122720
Otu00004,10,1,0,16,0,3,15,0,1,35,0,2,8344,5798,47654,42539,0,0,1,20,2194,21
Otu00005,1255,653,1458,7094,1645,488,19741,8939,7896,22274,1,8,101,1,0,48,213,0,0,3,0,3
Otu00006,2409,3798,2479,23261,17538,1609,6741,4525,5774,3703,0,5,2020,6,1,310,539,1,29,3,68,5
Otu00007,33902,855,2233,2364,145,30778,1802,78,2,0,16,20,5744,6,3,0,1123,0,0,0,0,12
Otu00008,1352,2299,1299,10218,12037,490,5385,2965,3499,12454,857,964,4502,28,689,0,4047,380,263,477,56,37
Otu00009,1852,841,2467,11090,2037,1545,17858,8701,7927,9121,6,10,916,1,1,0,149,0,0,205,0,0
Otu00010,11,3,1,154,1310,17,33,3,0,0,0,1,5128,36486,2992,8346,524,154,0,67,5472,4326
Otu00011,2138,498,1074,5658,844,2736,8253,3623,4637,5668,0,7,192,38,132,164,1,0,0,0,17,4
Otu00012,1099,1455,1443,10835,3860,644,3963,2691,3718,2829,0,8,638,36,1,139,1522,33,0,1,34,0
Otu00013,332,262,471,2557,1167,296,5412,1797,2149,5572,0,17,84,0,0,0,1,0,6,0,0,0
Otu00014,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,29688,0,0,0,0,0
Otu00015,2501,1164,180,3247,2510,3117,274,58,0,0,6,0,1184,0,0,0,2,1,8,0,0,0
Otu00016,0,0,0,0,0,6,21,0,0,0,0,0,0,0,1,0,0,0,0,19763,4240,128
Otu00017,7,0,9,102,0,2,0,0,0,0,0,0,400,11849,9642,999,0,0,0,1,310,2
Otu00018,2,1,4,88,0,11,16,0,0,0,0,0,5944,654,3680,9705,1,54,4,46,510,772
Otu00019,1329,871,117,4098,398,1981,1093,141,0,0,0,0,1673,0,0,0,0,0,10,0,0,0
Otu00020,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,18979
Otu00021,620,316,672,6245,1195,1288,1604,772,787,120,2,12,1283,0,0,0,1,0,2,0,9,0
Otu00022,0,1,0,0,0,0,0,0,0,0,0,1,1475,737,6674,7805,860,0,0,83,0,25
Otu00023,0,0,0,0,0,0,7,0,0,0,0,0,10913,1932,593,1947,1218,0,0,469,0,1
Otu00024,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,17083
Otu00025,0,1,0,0,0,4,0,0,0,0,0,0,3465,147,572,6532,0,0,0,3,1647,333
Otu00026,0,0,0,0,0,0,0,0,0,0,0,0,26,1601,10386,182,417,0,0,0,19,26
Otu00027,0,0,0,0,0,0,0,0,0,0,0,0,2679,702,5393,2510,290,0,0,0,0,0
Otu00028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10221,977,0,0,0,2,0,0
Otu00029,210,189,94,572,22,111,134,2301,2430,15,1,0,38,0,0,0,1,0,0,0,1,0
Otu00030,372,332,168,2692,1654,357,277,184,196,132,0,1,742,40,0,0,0,4,10,0,25,14
Otu00031,0,3,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8677
Otu00032,0,0,0,0,0,0,0,0,0,0,0,0,100,386,3842,1627,2239,0,0,0,107,10
Otu00033,30,11,47,214,77,14,544,265,272,822,0,0,0,0,0,0,0,0,0,0,0,0
Otu00034,5,0,0,448,0,8,36,0,0,0,0,0,51,4376,603,126,535,0,0,59,183,14
Otu00035,155,143,56,733,719,177,2,5,0,0,0,0,606,0,0,0,0,1,0,0,0,0
Otu00036,0,0,0,11,0,1,4,0,0,0,0,0,886,543,2889,1611,0,0,0,1,82,2
Otu00037,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5860
Otu00038,112,26,95,837,0,140,586,462,294,578,0,0,153,0,0,136,0,0,0,1,0,0
Otu00039,1186,176,96,659,0,1519,321,14,6,0,0,0,92,0,1,62,0,0,0,0,0,0
Otu00040,0,0,0,14,0,3,0,0,0,0,0,0,119,1851,2527,89,0,0,0,0,0,0
Otu00041,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2071,1034,1395
Otu00042,98,119,101,1027,413,92,146,148,244,121,0,0,215,0,1,0,0,0,0,0,1,0
Otu00043,0,11,0,110,0,9,0,5,0,0,0,1,7,390,0,1144,0,0,0,104,2594,0
Otu00044,0,0,0,1,0,0,1,0,0,0,0,0,368,18,48,1432,1151,1,0,0,865,446
Otu00045,326,175,210,1382,13,135,309,557,447,8,0,1,6,0,0,0,1,0,0,0,0,0
Otu00046,0,0,0,11,0,0,2,0,0,0,0,0,0,3339,777,16,0,0,0,0,1,0
Otu00047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4079,0,0,0,0,0
Otu00048,241,166,156,1071,244,140,345,309,304,142,0,3,122,1,2,4,8,1,1,0,4,3
Otu00049,0,0,0,15,81,4,0,0,0,0,0,0,173,44,196,190,0,0,0,0,200,2921
Otu00050,0,0,0,51,0,1,0,0,0,0,0,0,0,2765,399,0,0,0,0,0,323,0
Otu00051,1,0,0,0,0,0,0,0,0,0,0,2,0,243,3069,0,0,0,0,0,0,0
Otu00052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3194
Otu00053,0,0,0,13,0,0,1,0,0,0,0,0,0,453,2007,448,0,0,0,0,1,0
Otu00054,36,80,12,306,615,52,6,7,0,0,0,0,233,0,0,0,0,0,0,109,0,0
Otu00055,0,28,0,0,0,0,14,0,0,88,0,0,0,0,0,0,813,0,0,0,0,1592
Otu00056,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,883,0,0,0,0,1545
Otu00057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,707,1681,0,0,0,0,0,0
Otu00058,2,8,0,0,0,3,22,0,0,0,2,0,26,1045,122,771,0,0,0,0,412,0
Otu00059,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,1,1064,0,0,933,349,0
Otu00060,0,0,1,0,0,0,0,0,0,0,0,0,0,1789,425,0,0,0,0,0,0,0
Otu00061,0,0,0,0,0,0,0,0,0,0,0,0,0,1344,849,0,0,0,0,1,0,0
Otu00062,68,49,89,604,228,105,75,73,94,0,0,0,34,0,0,0,0,0,0,0,0,0
Otu00063,26,14,31,125,69,20,250,143,101,382,0,0,0,0,0,0,0,0,0,0,0,1
Otu00064,10,22,6,4,43,1,25,6,14,2,5,14,2,0,0,0,1436,0,1,2,3,0
Otu00065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,86,115
Otu00066,0,3,0,47,0,2,0,0,0,0,0,0,0,1073,508,275,0,0,0,0,3,0
Otu00067,0,1,0,0,0,0,0,0,0,0,0,0,0,34,1631,325,0,0,0,0,2,21
Otu00068,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,902,0,8,0,0,0
Otu00069,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
Otu00070,0,0,0,32,0,0,3,0,0,0,0,0,443,91,500,510,338,0,0,0,20,5
Otu00071,1,0,0,0,0,0,0,0,0,0,0,0,0,430,927,0,406,0,0,0,0,1
Otu00072,0,3,0,0,0,0,0,0,0,0,0,0,75,21,208,75,1333,0,0,0,0,0
Otu00073,62,66,46,440,180,12,224,152,199,20,0,0,1,0,1,0,2,0,0,0,3,0
Otu00074,0,0,0,11,0,0,1,0,0,0,0,0,0,356,1077,134,14,0,0,0,0,0
Otu00075,0,0,0,0,0,0,0,0,0,0,0,0,0,82,1492,11,0,0,0,0,0,0
Otu00076,0,0,0,0,0,0,0,0,0,0,0,0,0,1534,0,3,0,0,0,0,1,0
Otu00077,1,0,0,0,0,0,0,0,0,0,0,0,91,414,748,153,0,0,0,42,0,0
Otu00078,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,209,351,954
Otu00079,27,33,35,367,186,31,132,85,97,128,0,0,57,0,0,0,0,0,0,0,0,0
Otu00080,0,1,0,0,0,0,0,0,0,0,0,0,19,79,0,437,574,0,0,0,151,115
Otu00081,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1322
Otu00082,282,30,23,88,0,332,98,77,20,269,0,0,4,0,0,0,0,0,0,0,0,1
Otu00083,112,24,20,353,114,180,43,7,0,0,0,0,211,0,0,0,0,0,0,0,0,0
Otu00084,94,54,6,214,0,102,61,16,0,0,0,2,154,0,0,0,0,0,0,0,0,0
Otu00085,0,0,1,0,0,0,16,0,0,0,5,0,887,0,0,0,0,0,0,0,0,0
Otu00086,0,3,0,0,0,2,4,0,0,0,0,0,120,0,0,0,170,0,0,142,223,554
Otu00087,2,0,0,62,0,0,0,0,0,0,0,0,0,207,919,0,0,0,0,0,0,0
Otu00088,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1162
Otu00089,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1086
