,EMf3, ECf11, EMf1, EMf7, MVf12, EMf2, ECf9, bkEC, bkEM, bkMV, EMw3, EMw6, ECw11, EMw1, EMw4, EMw7, EMw8, MVw12, EMw2, EMw5, ECw9, ECw10, MVw13
Otu000001,16419,5166,10329,9208,2524,8512,6986,5983,674,551,90,0,50,38,5,14,118,38,0,5,12,2,166
Otu000002,3,51,10,72,3,1,313,1,3,12,0,5,5,7291,24746,9202,6934,172,25,5,15,717,5
Otu000003,0,39,4,18,0,16,45,0,0,0,2,9,76,9708,1546,4147,2242,7,37,14,1103,11364,1335
Otu000004,9231,1341,2791,3798,2,10654,1566,217,147,206,4,1,96,243,1,1,1,1,1,0,2,0,9
Otu000005,0,175,11,47,14,6,87,2,0,0,3,81,246,7316,5714,4535,5639,5,156,41,178,1773,36
Otu000006,0,14,7,21,1,7,45,0,0,0,0,12,50,5315,929,2528,1495,17,28,6,725,6736,1004
Otu000007,0,0,0,0,6553,0,0,0,0,0,43,45,0,8,0,0,1,11811,6,77,5,1,79
Otu000008,175,238,254,1093,11,184,2003,2254,6509,4003,0,0,6,6,1,0,0,0,0,0,0,0,0
Otu000009,1,253,9,36,0,1,136,0,1,0,2,26,45,2265,500,2726,6933,0,94,14,33,421,10
Otu000010,0,2,2,1,154,1,9,0,0,0,47,1520,298,107,4,8,2,28,5446,136,1449,3,50
Otu000011,0,3,1,0,43,1,0,1,0,0,51,2077,7062,657,1,0,0,2,132,21,278,0,0
Otu000012,141,116,62,438,3,111,844,1408,4323,2227,0,1,3,2,0,0,0,2,0,1,0,0,0
Otu000013,0,26,4,4,5,12,21,0,0,0,3,23,1227,1191,368,709,947,19,285,24,548,2951,552
Otu000014,0,0,0,0,2,0,0,0,0,0,6967,534,63,319,6,0,0,0,60,141,54,0,22
Otu000015,283,255,302,511,111,2766,769,1652,768,408,8,2,26,5,2,1,21,5,0,1,1,0,13
Otu000016,65,182,498,829,44,27,589,729,2704,2079,0,0,22,7,0,0,0,1,0,0,0,1,0
Otu000017,139,120,79,424,1,152,991,1083,3081,1585,0,0,9,2,0,0,0,1,0,0,0,0,1
Otu000018,0,6,3,15,2,3,10,0,0,0,2,11,71,2928,833,412,634,14,5,12,297,2025,102
Otu000019,0,3,0,0,22,8,0,0,0,0,26,2079,2438,601,5,0,1,2,366,17,932,5,11
Otu000020,0,3,0,0,0,0,2,0,1,98,1,16,6,7,0,5,0,0,14,1,3,1,0
Otu000021,0,2,1,0,1,2,5,0,0,0,0,8,1434,277,18,34,60,6,388,4,950,1318,1621
Otu000022,3,117,426,133,54,1,37,0,0,0,38,26,28,297,285,150,154,690,196,187,208,97,12
Otu000023,0,0,0,0,0,1,2,0,0,0,0,2,456,56,1,1,1,0,5,0,4377,207,144
Otu000024,0,4,2,2,0,1,5,1,0,0,0,18,1191,520,122,163,148,5,94,4,548,1815,581
Otu000025,0,23,2,11,3,3,9,0,0,0,2,1,335,252,87,170,534,4,54,8,218,2281,768
Otu000026,1,73,2,17,0,1,123,0,0,0,0,5,3,616,233,1142,2155,0,14,5,6,268,16
Otu000027,0,28,0,0,0,0,1,0,0,0,7,102,0,3967,0,0,0,0,162,0,2,0,0
Otu000028,0,2,1,0,1,0,1,0,0,43,3,64,11,18,0,5,0,0,29,0,41,0,0
Otu000029,0,0,1,0,33,0,3,0,0,0,111,439,200,239,2,1,5,5,867,465,881,14,1101
Otu000030,0,1,0,1,0,0,6,2,8,13,19,15,2,153,0,34,0,0,18,10,2,0,4
Otu000031,1,19,4,15,1,1,36,18,88,3331,17,33,13,439,0,1,8,0,17,4,62,3,0
Otu000032,0,5,0,0,1,0,1,0,0,0,321,1001,74,138,3,0,5,0,1736,443,229,4,8
Otu000033,0,12,2,5,26,4,8,0,2,0,1,560,230,769,391,212,362,72,24,1,656,563,60
Otu000034,0,32,2,11,10,0,15,0,1,0,0,9,60,797,573,991,969,10,22,4,21,301,7
Otu000035,4,1,2,0,0,1,4,17,1,5,25,15,2,80,0,26,0,26,0,14,7,0,9
Otu000036,0,1,0,1,1327,0,4,0,0,0,60,155,85,51,0,1,0,102,1413,94,325,0,34
Otu000037,44,82,135,308,2,32,405,432,1424,784,0,0,4,1,0,0,0,0,0,1,0,0,0
Otu000038,0,7,2,21,32,5,11,3,0,0,2,6,7,499,950,228,751,4,30,7,32,640,405
Otu000039,1,39,0,0,0,0,2,0,0,0,3,582,0,160,3,3,1,0,0,52,4,1,0
Otu000040,0,3,0,0,0,0,0,0,0,0,956,842,29,671,4,0,0,0,7,356,97,0,194
Otu000041,2,339,1392,406,238,523,161,0,0,0,1,0,8,11,0,0,0,0,0,0,1,0,0
Otu000042,1,70,3,20,11,2,26,0,1,20,3,25,7,622,615,314,648,466,26,7,45,69,2
Otu000043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0
Otu000044,0,15,1,2,11,0,1,0,0,9,763,527,114,321,1,0,0,100,374,539,191,0,58
Otu000045,0,8,0,1,63,1,6,0,0,0,2,2,0,996,980,251,186,21,3,0,58,340,7
Otu000046,0,5,0,0,0,0,0,0,4,16,98,93,0,32,3,3,1,1,1,51,8,0,3
Otu000047,0,2,1,0,1,0,0,0,0,0,602,318,26,122,0,0,0,0,313,1296,55,0,14
Otu000048,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,2724,0,0,0,0,0
Otu000049,0,4,1,0,8,0,0,1,0,0,415,778,172,539,2,0,1,0,83,184,345,1,114
Otu000050,0,23,7,33,14,2,11,0,0,0,0,7,4,285,1050,166,718,4,18,1,7,215,28
Otu000051,0,1,0,0,0,0,1,0,0,0,0,0,4,584,1175,545,231,0,1,1,0,18,1
Otu000052,0,0,0,0,0,0,0,0,0,0,0,3,63,3,1,0,0,0,8,0,13,13,2307
Otu000053,0,2,0,0,0,0,0,0,0,0,45,17,56,6,0,0,0,0,2221,11,21,0,2
Otu000054,1,0,0,0,0,1,1,0,0,0,38,770,12,125,0,0,0,0,287,1120,23,0,0
Otu000055,0,7,1,1,0,1,24,0,0,0,0,2,0,515,203,624,562,1,1,0,58,364,7
Otu000056,1,1,0,0,0,0,0,0,0,0,8,1041,1,802,1,1,20,19,13,0,17,6,429
Otu000057,0,33,287,158,1,1,55,0,0,0,16,35,10,266,81,100,392,333,89,132,230,60,5
Otu000058,0,0,0,0,0,0,0,0,0,1,3,2,0,1,0,0,0,2204,0,0,0,0,0
Otu000059,0,8,0,1,0,0,1,0,0,0,692,826,13,377,0,0,0,0,21,156,74,0,35
Otu000060,0,2,1,0,1,3,2,0,0,0,0,1,8,685,70,235,198,2,5,3,41,908,35
Otu000061,0,3,3,1,0,3,34,0,1,0,1,1,1,826,84,424,547,0,5,0,16,116,7
Otu000062,0,0,0,0,7,1,0,0,0,0,22,1465,141,240,0,0,0,1,78,66,25,0,0
Otu000063,0,0,0,0,2,0,0,0,0,0,29,1567,53,59,0,0,0,0,157,23,19,2,0
Otu000064,340,63,135,321,56,560,333,51,20,4,2,0,1,4,0,0,2,2,0,0,0,0,8
Otu000065,0,9,0,5,5,0,1,0,0,0,291,356,164,195,2,0,0,172,83,128,177,8,291
Otu000066,0,5,0,2,0,0,1,0,0,0,1,4,1,1,0,0,0,1,53,1742,17,0,0
Otu000067,0,3,1,1,0,0,1,0,0,0,0,2,114,68,38,48,213,1,11,3,69,1088,115
Otu000068,0,4,0,2,1,3,2,0,0,0,0,5,554,188,28,9,77,18,37,5,381,390,1
Otu000069,0,0,0,0,1,0,0,0,0,0,45,299,23,39,0,0,0,0,621,449,144,1,20
Otu000070,51,52,82,149,0,61,204,149,542,334,0,0,3,7,0,0,0,0,0,1,0,0,0
Otu000071,0,1,0,0,4,0,0,0,0,0,1,174,1335,42,0,0,0,0,1,3,64,1,5
Otu000072,0,1,2,13,0,6,3,0,12,299,145,886,12,82,1,2,1,0,39,34,35,46,3
Otu000073,5,18,35,18,0,4,191,282,948,101,0,5,0,6,0,0,0,2,2,1,4,0,0
Otu000074,1,2,0,0,1,0,0,0,0,0,1306,191,21,75,0,0,0,0,0,6,2,0,0
