,EMf3, ECf11, EMf1, EMf7, MVf12, EMf2, ECf9, bkEC, bkEM, bkMV, EMw3, EMw6, ECw11, EMw1, EMw4, EMw7, EMw8, MVw12, EMw2, EMw5, ECw9, ECw10, MVw13
Otu00001,2678,8575,5478,5028,8,325,53541,40512,52495,3,99,53,41,142,11731,1214,2982,15,153,334,2927,1072,1
Otu00002,0,4,2,0,3,0,0,1,0,2,470,126096,18902,14244,69,70,472,6,15835,343,9,1,2
Otu00003,1,9,2,5,75,318,2,7,3,1,102,28,332,138,3384,19348,13702,4933,2,27,1098,737,4643
Otu00004,0,2,0,0,0,0,0,0,4,0,3,7,4,105630,512,91,196,0,0,2,3,72,0
Otu00005,0,1,0,0,1,0,0,1,2,12,1402,46715,160,41769,18,35,0,0,391,8,8,1,0
Otu00006,0,0,0,0,0,0,0,0,0,0,93,18711,14592,8561,1,19,0,1,17,0,14705,1,0
Otu00007,0,0,0,0,2,0,0,0,0,0,0,4,1,71,23391,18341,987,5,0,0,0,0,20
Otu00008,0,0,0,0,0,1,0,0,0,1,1,20020,4620,17073,1,0,0,0,57,28,3,0,0
Otu00009,4099,2597,2767,8976,6648,5832,811,564,393,872,81,358,156,699,694,68,0,85,175,78,786,0,42
Otu00010,527,1356,974,912,1,70,5439,2418,3194,0,7,2,6,8,541,74,184,3,7,42,166,53,0
Otu00011,259,605,587,1281,9583,452,68,76,108,191,13,180,585,3852,3831,170,37,184,1109,57,265,3308,82
Otu00012,563,766,0,1446,31,798,912,30,54,0,7,9,6,1,0,0,237,0,0,41,4,0,0
Otu00013,0,1,0,0,1,2,2,132,101,0,1,8,48,3,0,0,0,2,0,0,22474,289,49
Otu00014,0,0,22360,1,6,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0
Otu00015,0,0,0,0,13,0,0,0,4,0,0,307,115,6,0,1,0,1,21448,2,172,8,4
Otu00016,3,31,6,26,437,0,5,68,7,580,74,127,1687,409,2846,366,945,58,273,22,4275,8286,32
Otu00017,0,0,0,0,0,0,0,13,0,0,10,9142,4460,5594,0,132,0,0,49,0,1043,0,1
Otu00018,0,3,0,0,0,0,0,0,1,0,0,1,0,1556,9953,2485,5712,235,0,2,11,100,95
Otu00019,70,366,1061,481,106,50,1086,982,1795,2135,86,33,15,8,0,25,0,0,127,10,146,138,2
Otu00020,0,2,1,0,0,0,0,3,69,0,318,7486,9,522,0,64,0,0,72,249,6717,244,421
Otu00021,2,47,26,121,15390,4,6,4,12,23,1,3,36,16,0,22,23,14,9,5,10,0,6
Otu00022,0,0,0,0,0,0,0,0,0,0,0,0,0,266,6788,2633,3948,7,0,1,0,0,48
Otu00023,0,0,0,0,0,0,0,0,0,0,5,6411,1313,5642,2,0,0,0,201,2,0,0,0
Otu00024,485,332,10041,87,2,113,4,38,30,0,9,20,29,3,0,0,495,1,104,33,10,87,0
Otu00025,0,0,0,0,0,0,0,0,0,93,11860,3,0,0,14,0,0,0,0,5,0,0,3
Otu00026,0,0,0,0,1,0,0,2,0,2,8,389,4,15,3,1,0,0,10922,3,58,0,1
Otu00027,0,0,0,0,318,0,0,1,4,0,8,51,136,13,0,0,2,10042,75,20,403,0,103
Otu00028,0,1,0,2,1,0,50,1,0,9,1614,118,53,6,3,291,0,0,0,317,97,127,0
Otu00029,58,416,66,428,1,7,1234,1602,1344,1378,55,26,1,11,0,76,216,1,71,30,108,261,7
Otu00030,193,304,442,554,2240,427,20,10,6,29,8,115,745,3841,397,0,0,150,217,30,155,240,91
Otu00031,1,0,0,0,0,0,0,1,0,0,11,20,1,0,0,50,0,0,6,31,41,0,0
Otu00032,0,0,1,1,0,0,0,199,0,0,0,2014,1468,350,1,3693,0,0,917,1,510,0,0
Otu00033,0,0,0,0,0,2,0,0,0,0,241,6501,752,244,0,34,0,0,1243,3,0,0,0
Otu00034,0,0,0,0,37,0,2,6,0,3,282,1821,15,2,0,9,0,0,22,125,477,0,112
Otu00035,0,0,0,0,1,9,2,7,20,0,4,38,5441,10,1,0,0,0,0,1,2357,67,570
