,EMf3,ECf11,EMf1,EMf7,MVf12,EMf2,ECf9,bkEC,bkEM,bkMV,EMw3,EMw6,ECw11,EMw1,EMw4,EMw7,EMw8,MVw12,EMw2,EMw5,ECw9,ECw10,MVw13
B_Otu000001,35738,21590,33521,28910,12889,21599,21644,21342,1468,1863,166,0,144,22,8,23,174,81,0,14,8,4,578
B_Otu000002,7,213,32,226,15,3,970,4,7,41,0,7,14,4279,41212,15029,10236,368,33,14,11,1329,17
B_Otu000003,0,163,13,57,0,41,139,0,0,0,4,20,218,5698,2575,6773,3310,15,48,39,775,21060,4652
B_Otu000004,20092,5604,9058,11924,10,27034,4852,774,320,696,7,2,276,143,2,2,1,2,1,0,1,0,31
B_Otu000005,0,731,36,148,71,15,270,7,0,0,6,48,707,4294,9516,7407,8324,11,204,114,125,3286,125
B_Otu000006,0,59,23,66,5,18,139,0,0,0,0,26,144,3119,1547,4129,2207,36,37,17,509,12483,3498
B_Otu000007,0,0,0,0,33462,0,0,0,0,0,79,46,0,5,0,0,1,25250,8,214,4,2,275
B_Otu000008,381,995,824,3432,56,467,6206,8040,14177,13532,0,0,17,4,2,0,0,0,0,0,0,0,0
B_Otu000009,2,1057,29,113,0,3,421,0,2,0,4,13,129,1329,833,4452,10234,0,123,39,23,780,35
B_Otu000010,0,8,6,3,786,3,28,0,0,0,87,466,856,63,7,13,3,60,7137,377,1018,6,174
B_Otu000011,0,13,3,0,220,3,0,4,0,0,94,1293,20287,386,2,0,0,4,173,58,195,0,0
B_Otu000012,307,485,201,1375,15,282,2615,5022,9416,7528,0,0,9,1,0,0,0,4,0,3,0,0,0
B_Otu000013,0,109,13,13,26,30,65,0,0,0,6,9,3525,699,613,1158,1398,41,374,67,385,5469,1923
B_Otu000014,0,0,0,0,10,0,0,0,0,0,12846,607,181,187,10,0,0,0,79,391,38,0,77
B_Otu000015,616,1066,980,1604,567,7019,2382,5893,1673,1379,15,4,75,3,3,2,31,11,0,3,1,0,45
B_Otu000016,141,761,1616,2603,225,69,1825,2600,5889,7028,0,0,63,4,0,0,0,2,0,0,0,2,0
B_Otu000017,303,502,256,1331,5,386,3070,3863,6711,5358,0,0,26,1,0,0,0,2,0,0,0,0,3
B_Otu000018,0,25,10,47,10,8,31,0,0,0,4,24,204,1718,1387,673,936,30,7,33,209,3753,355
B_Otu000019,0,13,0,0,112,20,0,0,0,0,48,1404,7004,353,8,0,1,4,480,47,655,9,38
B_Otu000020,0,13,0,0,0,0,6,0,2,331,2,7,17,4,0,8,0,0,18,3,2,2,0
B_Otu000021,0,8,3,0,5,5,15,0,0,0,0,9,4119,163,30,56,89,13,508,11,667,2442,5648
B_Otu000022,7,489,1383,418,276,3,115,0,0,0,70,41,80,174,475,245,227,1475,257,519,146,180,42
B_Otu000023,0,0,0,0,0,3,6,0,0,0,0,4,1310,33,2,2,1,0,7,0,3075,384,502
B_Otu000024,0,17,6,6,0,3,15,4,0,0,0,4,3421,305,203,266,218,11,123,11,385,3364,2024
B_Otu000025,0,96,6,35,15,8,28,0,0,0,4,0,962,148,145,278,788,9,71,22,153,4227,2676
B_Otu000026,2,305,6,53,0,3,381,0,0,0,0,2,9,362,388,1865,3181,0,18,14,4,497,56
B_Otu000027,0,117,0,0,0,0,3,0,0,0,13,187,0,2328,0,0,0,0,212,0,1,0,0
B_Otu000028,0,8,3,0,5,0,3,0,0,145,6,20,32,11,0,8,0,0,38,0,29,0,0
B_Otu000029,0,0,3,0,169,0,9,0,0,0,205,638,575,140,3,2,7,11,1136,1289,619,26,3836
B_Otu000030,0,4,0,3,0,0,19,7,17,44,35,30,6,90,0,56,0,0,24,28,1,0,14
B_Otu000031,2,79,13,47,5,3,112,64,192,11260,31,35,37,258,0,2,12,0,22,11,44,6,0
B_Otu000032,0,21,0,0,5,0,3,0,0,0,592,420,213,81,5,0,7,0,2275,1228,161,7,28
B_Otu000033,0,50,6,16,133,10,25,0,4,0,2,189,661,451,651,346,534,154,31,3,461,1043,209
B_Otu000034,0,134,6,35,51,0,46,0,2,0,0,9,172,468,954,1619,1430,21,29,11,15,558,24
B_Otu000035,9,4,6,0,0,3,12,61,2,17,46,20,6,47,0,42,0,56,0,39,5,0,31
B_Otu000036,0,4,0,3,6776,0,12,0,0,0,111,174,244,30,0,2,0,218,1852,261,228,0,118
B_Otu000037,96,343,438,967,10,81,1255,1541,3102,2650,0,0,11,1,0,0,0,0,0,3,0,0,0
B_Otu000038,0,29,6,66,163,13,34,11,0,0,4,7,20,293,1582,372,1109,9,39,19,22,1186,1411
B_Otu000039,2,163,0,0,0,0,6,0,0,0,6,1136,0,94,5,5,1,0,0,144,3,2,0
B_Otu000040,0,13,0,0,0,0,0,0,0,0,1763,1613,83,394,7,0,0,0,9,987,68,0,676
B_Otu000041,4,1417,4518,1275,1215,1327,499,0,0,0,2,0,23,6,0,0,0,0,0,0,1,0,0
B_Otu000042,2,293,10,63,56,5,81,0,2,68,6,15,20,365,1024,513,957,996,34,19,32,128,7
B_Otu000043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0
B_Otu000044,0,63,3,6,56,0,3,0,0,30,1407,812,327,188,2,0,0,214,490,1495,134,0,202
B_Otu000045,0,33,0,3,322,3,19,0,0,0,4,4,0,585,1632,410,275,45,4,0,41,630,24
B_Otu000046,0,21,0,0,0,0,0,0,9,54,181,183,0,19,5,5,1,2,1,141,6,0,10
B_Otu000047,0,8,3,0,5,0,0,0,0,0,1110,633,75,72,0,0,0,0,410,3594,39,0,49
B_Otu000048,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,5824,0,0,0,0,0
B_Otu000049,0,17,3,0,41,0,0,4,0,0,765,1182,494,316,3,0,1,0,109,510,242,2,397
B_Otu000050,0,96,23,104,71,5,34,0,0,0,0,9,11,167,1749,271,1060,9,24,3,5,398,98
B_Otu000051,0,4,0,0,0,0,3,0,0,0,0,0,11,343,1957,890,341,0,1,3,0,33,3
B_Otu000052,0,0,0,0,0,0,0,0,0,0,0,2,181,2,2,0,0,0,10,0,9,24,8038
B_Otu000053,0,8,0,0,0,0,0,0,0,0,83,11,161,4,0,0,0,0,2911,31,15,0,7
B_Otu000054,2,0,0,0,0,3,3,0,0,0,70,416,34,73,0,0,0,0,376,3106,16,0,0
B_Otu000055,0,29,3,3,0,3,74,0,0,0,0,4,0,302,338,1019,830,2,1,0,41,675,24
B_Otu000056,2,4,0,0,0,0,0,0,0,0,15,2192,3,471,2,2,30,41,17,0,12,11,1495
B_Otu000057,0,138,931,496,5,3,170,0,0,0,30,9,29,156,135,163,579,712,117,366,162,111,17
B_Otu000058,0,0,0,0,0,0,0,0,0,3,6,2,0,1,0,0,0,4712,0,0,0,0,0
