,Source,Sample_type,Vent_field,Temperature,T_category,Substratum
EMw1,Tubeworms,bk,Main_Endeavour,33.2,high,sulfide
EMw2,Tubeworms,d,Main_Endeavour,5.3,low,sulfide
EMw3,Tubeworms,bk,Main_Endeavour,3.4,low,basalt
EMw4,Tubeworms,d,Main_Endeavour,37.1,high,sulfide
EMw5,Tubeworms,bk,Main_Endeavour,13.4,low,sulfide
EMw6,Tubeworms,bk,Main_Endeavour,2.8,low,basalt
EMw7,Tubeworms,d,Main_Endeavour,33,high,sulfide
EMw8,Tubeworms,d,Main_Endeavour,37.4,high,sulfide
ECw9,Tubeworms,bk,Clam_Bed,15,low,sulfide
ECw10,Tubeworms,bk,Clam_Bed,31,high,sulfide
ECw11,Tubeworms,d,Clam_Bed,5.2,low,basalt
MVw12,Tubeworms,bk,Middle_Valley,27.4,high,sulfide
MVw13,Tubeworms,bk,Middle_Valley,21,low,sulfide
EMf1,Diffuse,f,Main_Endeavour,5,low,sulfide
EMf2,Diffuse,f,Main_Endeavour,4.6,low,sulfide
EMf3,Diffuse,f,Main_Endeavour,4.1,low,basalt
EMf7,Diffuse,f,Main_Endeavour,12,low,sulfide
ECf9,Diffuse,f,Clam_Bed,2.6,low,sulfide
ECf11,Diffuse,f,Clam_Bed,6.1,low,basalt
MVf12,Diffuse,f,Middle_Valley,23,low,sulfide
bkEC,Background,B,Clam_Bed,2,low,none
bkEM,Background,B,Main_Endeavour,2,low,none
bkMV,Background,B,Middle_Valley,2,low,none
