Identity,Effect,Greater_in,Domain
Bacteroidetes Ignavibacteria,3,HighT,Bacteria
Bacteroidetes VC2.1 Bac22,2.46,HighT,Bacteria
Bacteroidetes Carboxylicivirga OTU130,2.27,HighT,Bacteria
Opisthokonta Pezizomycotina,2.15,HighT,Eukarya
Excavata Jakobida,2.1,HighT,Eukarya
Epsilonbacteraeota Nitratifractor,2.09,HighT,Bacteria
Epsilonbacteraeota Arcobacter OTU2,2.06,HighT,Bacteria
Bacteroidetes Carboxylicivirga OTU90,1.96,HighT,Bacteria
Bacteroidetes Carboxylicivirga OTU192,1.84,HighT,Bacteria
Bacteroidetes fa_Flavobacteriaceae,1.83,HighT,Bacteria
Bacteroidetes BD2-2,1.8,HighT,Bacteria
Cand Phy Gracilibacteria,1.78,HighT,Bacteria
Bacteroidetes or Sphingobacteriales,1.75,HighT,Bacteria
Cand Phy Gracilibacteria or_Absconditabacteriales,1.59,HighT,Bacteria
Epsilonbacteraeota Arcobacter OTU490,1.51,HighT,Bacteria
Bacteroidetes NS7 marine group,-2.15,LowT,Bacteria
Gammaproteobacteria Psychrosphaera,-3.62,LowT,Bacteria
Gammaproteobacteria,-4.27,LowT,Bacteria
Gamaproteobacteria or Alteromonadales,-4.45,LowT,Bacteria
Gammaproteobacteria Pseudomonas,-4.51,LowT,Bacteria
