Identity,Effect,Greater_in,Domain
Cand Phy Gracilibacteria OTU42,-3.170616804,HighT,Bacteria
Epsilonbacteraeota Arcobacter OTU2,-2.908293504,HighT,Bacteria
Bacteroidetes Ichthyobacterium OTU133,-2.630481937,HighT,Bacteria
Bacteroidetes VC2.1 Bac22 OTU95,-2.316535822,HighT,Bacteria
Cand Phy Gracilibacteria OTU149,-2.218028278,HighT,Bacteria
Bacteroidetes fa_Lentimicrobiaceae OTU93,-2.211669663,HighT,Bacteria
Epsilonbacteraeota Arcobacter OTU490,-2.158200509,HighT,Bacteria
Bacteroidetes or_Sphingobacteriales,-2.125790001,HighT,Bacteria
Bacteroidetes Ichthyobacterium OTU308,-2.117071008,HighT,Bacteria
Paralvinella sulfincola,-2.09,HighT,Macrofauna
Cand Phy Gracilibacteria OTU219,-2.059657149,HighT,Bacteria
Benthoxynus spiculifer,-1.99,HighT,Meiofauna
Cand Phy Gracilibacteria or_Absconditabacteriales,-1.864202033,HighT,Bacteria
Epsilonbacteraeota Nitratifractor OTU664,-1.84438273,HighT,Bacteria
Epsilonbacteraeota Nitratifractor OTU143,-1.841381811,HighT,Bacteria
Epsilonbacteraeota or_Campylobacterales OTU834,-1.836429354,HighT,Bacteria
Unclassified Bacteria,-1.835231483,HighT,Bacteria
Cand Phy Gracilibacteria OTU128,-1.83504409,HighT,Bacteria
Bacteroidetes Maritimimonas,-1.826374137,HighT,Bacteria
Bacteroidetes fa_Lentimicrobiaceae OTU45,-1.817040297,HighT,Bacteria
Bacteroidetes BD2-2,-1.805610205,HighT,Bacteria
Epsilonbacteraeota or_Campylobacterales OTU444,-1.803029621,HighT,Bacteria
Epsilonbacteraeota Arcobacter OTU141,-1.798181731,HighT,Bacteria
Epsilonbacteraeota Arcobacter OTU852,-1.782523155,HighT,Bacteria
Epsilonbacteraeota Nitratifractor OTU337,-1.778601811,HighT,Bacteria
Epsilonbacteraeota Sulfurovum OTU198,-1.749652101,HighT,Bacteria
Epsilonbacteraeota Arcobacter OTU77,-1.734630869,HighT,Bacteria
Epsilonbacteraeota Sulfurovum OTU298,-1.732492416,HighT,Bacteria
Epsilonbacteraeota Nitratifractor OTU1485,-1.725972203,HighT,Bacteria
Epsilonbacteraeota Arcobacter OTU1341,-1.722405114,HighT,Bacteria
Epsilonbacteraeota Arcobacter OTU138,-1.709917489,HighT,Bacteria
Epsilonbacteraeota Nitratifractor OTU368,-1.695116071,HighT,Bacteria
Epsilonbacteraeota or_Campylobacterales OTU474,-1.68612134,HighT,Bacteria
Epsilonbacteraeota or_Campylobacterales OTU768,-1.679095343,HighT,Bacteria
Epsilonbacteraeota or_Campylobacterales OTU081,-1.67752663,HighT,Bacteria
Deltaproteobacteria OTU200,-1.676758811,HighT,Bacteria
Cand Phy Gracilibacteria OTU356,-1.667648199,HighT,Bacteria
