Identity,Effect,Greater_in,Domain
Alphaproteobacteria_Pseudahrensia_OTU115,4.12,LowTworms,Bacteria
Gammaproteobacteria_fa_Methylophagaceae_OTU69,2.94,LowTworms,Bacteria
Alphaproteobacteria_Roseobacter_clade_NAC11-7_OTU29,2.80,LowTworms,Bacteria
Alphaproteobacteria_Sedimentitalea_OTU146,2.73,LowTworms,Bacteria
Alphaproteobacteria_Pseudahrensia_OTU525,2.64,LowTworms,Bacteria
Cyanobacteria_cl_Sericytochromatia,2.63,LowTworms,Bacteria
Bacteroidetes_cl_Bacteroidia,2.55,LowTworms,Bacteria
Bacteroidetes_fa_Crocinitomicaceae,2.54,LowTworms,Bacteria
Gammaproteobacteria_Dasania,2.46,LowTworms,Bacteria
Alphaproteobacteria_OTU416,2.46,LowTworms,Bacteria
Alphaproteobacteria_or_Parvibaculales_OTU117,2.39,LowTworms,Bacteria
Alphaproteobacteria_Roseobacter_clade_NAC11-7_OTU104,2.31,LowTworms,Bacteria
Alphaproteobacteria_OTU763,2.29,LowTworms,Bacteria
Alphaproteobacteria_Robiginitomaculum_OTU280,2.29,LowTworms,Bacteria
Bacteroidetes_Euzebyella,2.28,LowTworms,Bacteria
Alphaproteobacteria_fa_Rhodobacteraceae_OTU357,2.27,LowTworms,Bacteria
Alphaproteobacteria_OTU196,2.26,LowTworms,Bacteria
Alphaproteobacteria_fa_Rhodobacteraceae_OTU730,2.26,LowTworms,Bacteria
Alphaproteobacteria_OTU365,2.24,LowTworms,Bacteria
Alphaproteobacteria_fa_Devosiaceae_OTU49,2.23,LowTworms,Bacteria
Gammaproteobacteria_OTU343,2.19,LowTworms,Bacteria
Bacteroidetes_fa_Flavobacteriaceae_OTU346,2.17,LowTworms,Bacteria
Alphaproteobacteria_Robiginitomaculum_OTU181,2.17,LowTworms,Bacteria
Unknown_Bacteria_OTU528,2.16,LowTworms,Bacteria
Alphaproteobacteria_or_Parvibaculales_OTU283,2.15,LowTworms,Bacteria
Alphaproteobacteria_Euryhalocaulis_OTU151,2.14,LowTworms,Bacteria
Alphaproteobacteria_Sedimentitalea_OTU964,2.13,LowTworms,Bacteria
Gammaproteobacteria_Halioglobus,2.09,LowTworms,Bacteria
Gammaproteobacteria_fa_Methylophagaceae_OTU36,2.06,LowTworms,Bacteria
Unknown_Bacteria_OTU759,2.05,LowTworms,Bacteria
Alphaproteobacteria_fa_Kiloniellaceae,2.04,LowTworms,Bacteria
Alphaproteobacteria_OTU129,2.04,LowTworms,Bacteria
Bacteroidetes_Fulvivirga,2.03,LowTworms,Bacteria
Alphaproteobacteria_or_Rickettsiales_OTU373,2.00,LowTworms,Bacteria
Alphaproteobacteria_Robiginitomaculum_OTU190,1.95,LowTworms,Bacteria
Bacteroidetes_fa_Flavobacteriaceae_OTU47,1.95,LowTworms,Bacteria
Alphaproteobacteria_Roseobacter_clade_NAC11-7_OTU436,1.93,LowTworms,Bacteria
Gammaproteobacteria_fa_Methylophagaceae_OTU82,1.93,LowTworms,Bacteria
Alphaproteobacteria_fa_Rhodobacteraceae_OTU32,1.92,LowTworms,Bacteria
Bacteroidetes_Reichenbachiella,1.92,LowTworms,Bacteria
Alphaproteobacteria_fa_Rhodobacteraceae_OTU10,1.91,LowTworms,Bacteria
Alphaproteobacteria_fa_Rhodobacteraceae_OTU372,1.91,LowTworms,Bacteria
Alphaproteobacteria_or_Parvibaculales_OTU266,1.90,LowTworms,Bacteria
Alphaproteobacteria_OTU44,1.89,LowTworms,Bacteria
Actinobacteria_Sva0996_marine_group,1.88,LowTworms,Bacteria
Deltaproteobacteria,1.88,LowTworms,Bacteria
Alphaproteobacteria_fa_Rhodobacteraceae_OTU261,1.87,LowTworms,Bacteria
Bacteroidetes_Maribacter,1.85,LowTworms,Bacteria
Alphaproteobacteria_Robiginitomaculum_OTU100,1.85,LowTworms,Bacteria
Gammaproteobacteria_fa_Methylophagaceae_OTU399,1.84,LowTworms,Bacteria
Alphaproteobacteria_OTU172,1.83,LowTworms,Bacteria
Alphaproteobacteria_Roseobacter_clade_NAC11-7_OTU522,1.81,LowTworms,Bacteria
Alphaproteobacteria_Roseobacter_clade_NAC11-7_OTU1086,1.80,LowTworms,Bacteria
Alphaproteobacteria_Euryhalocaulis_OTU456,1.78,LowTworms,Bacteria
Alphaproteobacteria_Robiginitomaculum_OTU703,1.78,LowTworms,Bacteria
WPS-2,1.77,LowTworms,Bacteria
Bacteroidetes_fa_Cyclobacteriaceae_OTU165,1.77,LowTworms,Bacteria
Alphaproteobacteria_Pseudahrensia_OTU65,1.76,LowTworms,Bacteria
Alphaproteobacteria_OTU915,1.76,LowTworms,Bacteria
Deltaproteobacteria_fa_Bdellovibrionaceae_OM27_clade,1.74,LowTworms,Bacteria
Alphaproteobacteria_fa_Rhodobacteraceae_OTU75,1.72,LowTworms,Bacteria
Alphaproteobacteria_or_Parvibaculales_OTU173,1.70,LowTworms,Bacteria
Gammaproteobacteria_Cocleimonas,1.70,LowTworms,Bacteria
Alphaproteobacteria_or_Kordiimonadales_OTU40,1.69,LowTworms,Bacteria
Alphaproteobacteria_OTU291,1.68,LowTworms,Bacteria
Alphaproteobacteria_Sedimentitalea_OTU435,1.68,LowTworms,Bacteria
Alphaproteobacteria_Sedimentitalea_OTU259,1.67,LowTworms,Bacteria
Alphaproteobacteria_Robiginitomaculum_OTU672,1.65,LowTworms,Bacteria
Alphaproteobacteria_fa_Rhodobacteraceae_OTU1038,1.65,LowTworms,Bacteria
Amoebozoa_fa_Flabellulidae_OTU55,1.65,LowTworms,Eukarya
Alphaproteobacteria_fa_Parvularculaceae,1.65,LowTworms,Bacteria
Gammaproteobacteria_fa_Halieaceae_OTU87,1.65,LowTworms,Bacteria
Bacteroidetes_fa_Flavobacteriaceae_OTU635,1.63,LowTworms,Bacteria
Alphaproteobacteria_Pseudahrensia_OTU256,1.63,LowTworms,Bacteria
Gammaproteobacteria_fa_Halieaceae_OTU684,1.62,LowTworms,Bacteria
Alphaproteobacteria_Roseobacter_clade_NAC11-7_OTU971,1.60,LowTworms,Bacteria
Alphaproteobacteria_or_Kordiimonadales_OTU329,1.59,LowTworms,Bacteria
Alphaproteobacteria_OTU1876,1.58,LowTworms,Bacteria
Alphaproteobacteria_OTU574,1.58,LowTworms,Bacteria
Amoebozoa_fa_Flabellulidae_OTU52,1.57,LowTworms,Eukarya
Alphaproteobacteria_fa_Rhodobacteraceae_OTU616,1.55,LowTworms,Bacteria
Alphaproteobacteria_fa_Rhodobacteraceae_OTU603,1.54,LowTworms,Bacteria
Unknown_Bacteria_OTU487,1.52,LowTworms,Bacteria
Alphaproteobacteria_OTU455,1.52,LowTworms,Bacteria
Alphaproteobacteria_fa_Rhodobacteraceae_OTU1137,1.51,LowTworms,Bacteria
Alphaproteobacteria_Roseobacter_clade_NAC11-7_OTU972,1.50,LowTworms,Bacteria
Alphaproteobacteria_or_Rickettsiales_OTU418,1.50,LowTworms,Bacteria
Alphaproteobacteria_fa_Rhodobacteraceae_OTU131,1.48,LowTworms,Bacteria
Alphaproteobacteria_OTU923,1.47,LowTworms,Bacteria
Bacteroidetes_fa_Cyclobacteriaceae_OTU271,1.47,LowTworms,Bacteria
Alphaproteobacteria_fa_Micavibrionaceae,1.46,LowTworms,Bacteria
Bacteroidetes_or_Flavobacteriales,1.45,LowTworms,Bacteria
Patescibacteria_cl_Gracilibacteria_OTU1499,1.45,LowTworms,Bacteria
Bacteroidetes_fa_Cryomorphaceae,1.45,LowTworms,Bacteria
Alphaproteobacteria_Sedimentitalea_OTU125,1.44,LowTworms,Bacteria
Patescibacteria_cl_Gracilibacteria_OTU960,1.44,LowTworms,Bacteria
Patescibacteria_or_Absconditabacteriales,1.43,LowTworms,Bacteria
Alphaproteobacteria_OTU347,1.43,LowTworms,Bacteria
Alphaproteobacteria_OTU1063,1.42,LowTworms,Bacteria
Alphaproteobacteria_or_Parvibaculales_OTU156,1.41,LowTworms,Bacteria
Alphaproteobacteria_Sedimentitalea_OTU1773,1.41,LowTworms,Bacteria
Alphaproteobacteria_fa_Devosiaceae_OTU783,1.37,LowTworms,Bacteria
Bacteroidetes_fa_Flavobacteriaceae_OTU59,1.37,LowTworms,Bacteria
Alphaproteobacteria_OTU1575,1.34,LowTworms,Bacteria
Alphaproteobacteria_fa_Rhodobacteraceae_OTU1129,1.33,LowTworms,Bacteria
Alphaproteobacteria_Roseobacter_clade_NAC11-7_OTU484,1.31,LowTworms,Bacteria
Bacteroidetes_fa_Flavobacteriaceae_OTU434,1.30,LowTworms,Bacteria
Gammaproteobacteria_Pseudomonas,-1.55,Fluids,Bacteria
Alveolata_cl_Dinophyceae,-1.73,Fluids,Eukarya
Alveolata_Dino-Group-II-Clade-8,-1.83,Fluids,Eukarya
Gammaproteobacteria_or_Alteromonadales_,-2.01,Fluids,Bacteria
Archaeplastida_Bathycoccus,-2.07,Fluids,Eukarya
Gammaproteobacteria_OTU294,-2.07,Fluids,Bacteria
Gammaproteobacteria_Psychrosphaera,-2.08,Fluids,Bacteria
Hacrobia_Chrysochromulina,-2.18,Fluids,Eukarya
Bacteroidetes_NS7_marine_group,-2.37,Fluids,Bacteria
Thaumarchaeota_Candidatus_Nitrosopelagicus,-2.81,Fluids,Archaea
