Sample,Type,Alphaproteobacteria,Gammaproteobacteria,Bacteroidetes,Epsilonbacteraeota,Deltaproteobacteria,Chloroflexi,Actinobacteria,Patescibacteria,Bacteria,Nitrospinae,Aquificae,Firmicutes,Proteobacteria,Acidobacteria,Others
EMf3,Diffuse,0.38139912,0.561211489,0.00886032,0.002779708,0.019052583,2.90E-05,0.003329859,0.000579106,0.004401205,0.00147672,8.69E-05,0,0.014854065,8.69E-05,0.001853139
ECf11,Diffuse,0.122810404,0.447136032,0.041161994,0.26473001,0.036046904,0.002026734,0.011243546,0.049992762,0.011050524,0.002702311,0.000144767,0.0004343,0.007479612,0.000386044,0.002654056
EMf1,Diffuse,0.171986879,0.545165955,0.011322352,0.10475821,0.022962153,0.000246905,0.023173786,0.088815209,0.017494974,0.002892314,0.001269796,3.53E-05,0.007336602,0.000634898,0.001904695
EMf7,Diffuse,0.232431173,0.476513865,0.040447418,0.040247678,0.079896135,0.000299611,0.033489797,0.020473385,0.020340224,0.003961517,0.036219581,0.000499351,0.010852558,0.001498053,0.002829655
MVf12,Diffuse,0.565488565,0.306892692,0.070099685,0.030118876,0.001919079,0.000426462,0.003038542,0.009275548,0.004637774,0.000319846,0.000426462,0,0.006503545,0.000319846,0.000533077
EMf2,Diffuse,0.444262774,0.491854015,0.01579562,0.002978102,0.017489051,0.000467153,0.001839416,0.000437956,0.004875912,0.001167883,5.84E-05,0,0.017021898,0.000116788,0.001635036
ECf9,Diffuse,0.156987772,0.482464991,0.026595101,0.065741152,0.189232818,0.002179265,0.028169014,0.010977037,0.007062432,0.011784172,0.000645708,4.04E-05,0.013519512,0.000887849,0.003712821
bkEC,Bkgd,0.120312059,0.519174734,0.004793684,0.00272582,0.268352289,4.70E-05,0.042485196,0.000469969,0.005498637,0.012219194,0,0,0.019127738,0.001174922,0.003618761
bkEM,Bkgd,0.177033353,0.178788765,0.009449971,0.001813926,0.467875951,0,0.094470451,0.000819193,0.01029842,0.028057343,0.000146284,0,0.020743125,0.003569339,0.006933879
bkMV,Bkgd,0.141753163,0.335176907,0.042919918,0.004204864,0.331199333,0,0.082809304,0.008068793,0.002121373,0.036858853,0.001174331,0,0.002916888,0.00181832,0.008977953
EMw3,Tubeworms,0.369127517,0.328387691,0.167156742,0.006329824,0.014185989,0.005005499,0.007092995,0.021817692,0.020336244,0.016385715,0,0.002783327,0.025970236,0.003793405,0.011627124
EMw6,Tubeworms,0.378807931,0.220691564,0.261550123,0.01109293,0.031389865,0.004307233,0.00166033,0.01396843,0.027371385,0.00785649,0,0.003188315,0.015111411,0.011116993,0.011887001
ECw11,Tubeworms,0.12592162,0.192614801,0.359194787,0.078288004,0.02952244,0.141799492,0.002631015,0.023464986,0.034142014,0.000214152,0,0.000581271,0.006577538,0.002906354,0.002141524
EMw1,Tubeworms,0.13253012,0.072767189,0.384736595,0.259500899,0.043616051,0.028088843,0.00050459,0.025822614,0.029000646,0.001026885,0.000115082,0.011145242,0.005692129,0.001779344,0.003673769
EMw4,Tubeworms,0.001543524,0.001136441,0.142207748,0.756343714,0.022474388,0.010465432,1.70E-05,0.028902911,0.031939073,0,0.001017708,0.000220503,0.002968315,0.000169618,0.000593663
EMw7,Tubeworms,0.000775155,0.00290271,0.329408078,0.527567496,0.021720845,0.027031485,1.65E-05,0.024590569,0.053188858,0,0.000115449,0.000197912,0.008394769,0.000115449,0.003974733
EMw8,Tubeworms,0.00152378,0.005125443,0.242865938,0.595243959,0.025950439,0.020270894,1.54E-05,0.058473141,0.043035247,0,0.000184701,0.000153917,0.001385255,0.000415576,0.005356318
MVw12,Tubeworms,0.581829672,0.11414749,0.148666318,0.042080718,0.005644177,0.00119857,2.18E-05,0.077558403,0.013772664,6.54E-05,0.00019613,0.000174338,0.011266562,0.000849895,0.002527894
EMw2,Tubeworms,0.536797643,0.168295103,0.096368337,0.021841085,0.014926495,0.013182816,0.000631332,0.064921985,0.025989839,0.001172474,0,6.01E-05,0.0235547,0.021765926,0.010492138
EMw5,Tubeworms,0.428162736,0.227304481,0.148897242,0.02711154,0.019393899,0.002993912,0.007883969,0.092046173,0.015302219,0.008615815,6.65E-05,0.000565517,0.012707495,0.003592695,0.005355777
ECw9,Tubeworms,0.202463433,0.073214213,0.384749402,0.0674608,0.140168551,0.047364369,0.000486204,0.032818767,0.030833435,0.000364653,6.08E-05,0.000749564,0.009501236,0.004112475,0.005652121
ECw10,Tubeworms,0.004057071,0.004755896,0.540289236,0.224051247,0.052295448,0.125186839,7.76E-05,0.014927691,0.02727361,0,0.000718237,0.000174706,0.001242357,0.00234883,0.002601184
MVw13,Tubeworms,0.179547422,0.076130415,0.238613412,0.091010263,0.053501504,0.256667079,0.000370966,0.017517827,0.038827748,4.12E-05,0,0.021309921,0.007007131,0.007913936,0.011541157
