Taxa,source,type,relabund
Bacteria-Gammaproteobacteria,EMw3,tubeworm-associated,0.2669
Bacteria-Alphaproteobacteria,EMw3,tubeworm-associated,0.3032
Bacteria-Bacteroidetes,EMw3,tubeworm-associated,0.1373
Bacteria-Epsilonbacteraeota,EMw3,tubeworm-associated,0.0052
Bacteria-Deltaproteobacteria,EMw3,tubeworm-associated,0.0117
Archaea-Thaumarchaeota,EMw3,tubeworm-associated,0.0947
Archaea-Euryarchaeota,EMw3,tubeworm-associated,0.0001
Bacteria-Patescibacteria,EMw3,tubeworm-associated,0.0179
Bacteria-Chloroflexi,EMw3,tubeworm-associated,0.0041
Eukaryota-Alveolata,EMw3,tubeworm-associated,0.0599
Eukaryota-Rhizaria,EMw3,tubeworm-associated,0.0097
Bacteria,EMw3,tubeworm-associated,0.0167
Bacteria-Actinobacteria,EMw3,tubeworm-associated,0.0058
Bacteria-Proteobacteria,EMw3,tubeworm-associated,0.0203
Bacteria-Betaproteobacteriales,EMw3,tubeworm-associated,0.0029
Eukaryota-Opisthokonta,EMw3,tubeworm-associated,0.0057
Eukaryota,EMw3,tubeworm-associated,0.0035
Archaea-Asgardaeota,EMw3,tubeworm-associated,0
Bacteria-Acidobacteria,EMw3,tubeworm-associated,0.0031
Eukaryota-Amoebozoa,EMw3,tubeworm-associated,0.001
Bacteria-Aquificae,EMw3,tubeworm-associated,0
Archaea-Crenarchaeota,EMw3,tubeworm-associated,0
Bacteria-Other,EMw3,tubeworm-associated,0.0264
Archaea-Other,EMw3,tubeworm-associated,0
Eukaryota-Other,EMw3,tubeworm-associated,0.004
Bacteria-Gammaproteobacteria,EMw6,tubeworm-associated,0.1368
Bacteria-Alphaproteobacteria,EMw6,tubeworm-associated,0.3448
Bacteria-Bacteroidetes,EMw6,tubeworm-associated,0.2042
Bacteria-Epsilonbacteraeota,EMw6,tubeworm-associated,0.0093
Bacteria-Deltaproteobacteria,EMw6,tubeworm-associated,0.0381
Archaea-Thaumarchaeota,EMw6,tubeworm-associated,0.0479
Archaea-Euryarchaeota,EMw6,tubeworm-associated,0
Bacteria-Patescibacteria,EMw6,tubeworm-associated,0.0089
Bacteria-Chloroflexi,EMw6,tubeworm-associated,0.0019
Eukaryota-Alveolata,EMw6,tubeworm-associated,0.0825
Eukaryota-Rhizaria,EMw6,tubeworm-associated,0.0022
Bacteria,EMw6,tubeworm-associated,0.0229
Bacteria-Actinobacteria,EMw6,tubeworm-associated,0.0015
Bacteria-Proteobacteria,EMw6,tubeworm-associated,0.0118
Bacteria-Betaproteobacteriales,EMw6,tubeworm-associated,0.0143
Eukaryota-Opisthokonta,EMw6,tubeworm-associated,0.0009
Eukaryota,EMw6,tubeworm-associated,0.0277
Archaea-Asgardaeota,EMw6,tubeworm-associated,0
Bacteria-Acidobacteria,EMw6,tubeworm-associated,0.0102
Eukaryota-Amoebozoa,EMw6,tubeworm-associated,0.0011
Bacteria-Aquificae,EMw6,tubeworm-associated,0
Archaea-Crenarchaeota,EMw6,tubeworm-associated,0
Bacteria-Other,EMw6,tubeworm-associated,0.0282
Archaea-Other,EMw6,tubeworm-associated,0
Eukaryota-Other,EMw6,tubeworm-associated,0.0046
Bacteria-Gammaproteobacteria,ECw11,tubeworm-associated,0.1803
Bacteria-Alphaproteobacteria,ECw11,tubeworm-associated,0.1182
Bacteria-Bacteroidetes,ECw11,tubeworm-associated,0.3373
Bacteria-Epsilonbacteraeota,ECw11,tubeworm-associated,0.0735
Bacteria-Deltaproteobacteria,ECw11,tubeworm-associated,0.0277
Archaea-Thaumarchaeota,ECw11,tubeworm-associated,0.0106
Archaea-Euryarchaeota,ECw11,tubeworm-associated,0.0041
Bacteria-Patescibacteria,ECw11,tubeworm-associated,0.022
Bacteria-Chloroflexi,ECw11,tubeworm-associated,0.1331
Eukaryota-Alveolata,ECw11,tubeworm-associated,0.0322
Eukaryota-Rhizaria,ECw11,tubeworm-associated,0.0011
Bacteria,ECw11,tubeworm-associated,0.0321
Bacteria-Actinobacteria,ECw11,tubeworm-associated,0.0025
Bacteria-Proteobacteria,ECw11,tubeworm-associated,0.0062
Bacteria-Betaproteobacteriales,ECw11,tubeworm-associated,0.0005
Eukaryota-Opisthokonta,ECw11,tubeworm-associated,0.0024
Eukaryota,ECw11,tubeworm-associated,0.0093
Archaea-Asgardaeota,ECw11,tubeworm-associated,0.0009
Bacteria-Acidobacteria,ECw11,tubeworm-associated,0.0027
Eukaryota-Amoebozoa,ECw11,tubeworm-associated,0.0003
Bacteria-Aquificae,ECw11,tubeworm-associated,0
Archaea-Crenarchaeota,ECw11,tubeworm-associated,0
Bacteria-Other,ECw11,tubeworm-associated,0.0028
Archaea-Other,ECw11,tubeworm-associated,0
Eukaryota-Other,ECw11,tubeworm-associated,0.0002
Bacteria-Gammaproteobacteria,EMw1,tubeworm-associated,0.0453
Bacteria-Alphaproteobacteria,EMw1,tubeworm-associated,0.0879
Bacteria-Bacteroidetes,EMw1,tubeworm-associated,0.2551
Bacteria-Epsilonbacteraeota,EMw1,tubeworm-associated,0.172
Bacteria-Deltaproteobacteria,EMw1,tubeworm-associated,0.0289
Archaea-Thaumarchaeota,EMw1,tubeworm-associated,0.2242
Archaea-Euryarchaeota,EMw1,tubeworm-associated,0.0336
Bacteria-Patescibacteria,EMw1,tubeworm-associated,0.0171
Bacteria-Chloroflexi,EMw1,tubeworm-associated,0.0186
Eukaryota-Alveolata,EMw1,tubeworm-associated,0.0146
Eukaryota-Rhizaria,EMw1,tubeworm-associated,0.0004
Bacteria,EMw1,tubeworm-associated,0.0192
Bacteria-Actinobacteria,EMw1,tubeworm-associated,0.0003
Bacteria-Proteobacteria,EMw1,tubeworm-associated,0.0036
Bacteria-Betaproteobacteriales,EMw1,tubeworm-associated,0.0029
Eukaryota-Opisthokonta,EMw1,tubeworm-associated,0.0005
Eukaryota,EMw1,tubeworm-associated,0.0126
Archaea-Asgardaeota,EMw1,tubeworm-associated,0.0005
Bacteria-Acidobacteria,EMw1,tubeworm-associated,0.0012
Eukaryota-Amoebozoa,EMw1,tubeworm-associated,0.036
Bacteria-Aquificae,EMw1,tubeworm-associated,0.0001
Archaea-Crenarchaeota,EMw1,tubeworm-associated,0.0002
Bacteria-Other,EMw1,tubeworm-associated,0.0107
Archaea-Other,EMw1,tubeworm-associated,0.0145
Eukaryota-Other,EMw1,tubeworm-associated,0.001
Bacteria-Gammaproteobacteria,EMw4,tubeworm-associated,0.0011
Bacteria-Alphaproteobacteria,EMw4,tubeworm-associated,0.0015
Bacteria-Bacteroidetes,EMw4,tubeworm-associated,0.1396
Bacteria-Epsilonbacteraeota,EMw4,tubeworm-associated,0.7426
Bacteria-Deltaproteobacteria,EMw4,tubeworm-associated,0.0221
Archaea-Thaumarchaeota,EMw4,tubeworm-associated,0.0001
