Sample,Other_Gammaproteobacteria,Halioglobus,Aquicella,Cellvibrionales,KI89A_clade,Nitrincolaceae,Thiohalorhabdaceae,Spongiispira,Thiotrichaceae,Marimicrobium,Alteromonas,Psychrosphaera,Psychromonas,Methylomonaceae,Colwellia,UBA10353_marine_group,Pseudoalteromonadaceae,Spongiibacteraceae,Arenicellaceae,Vibrio,Oceaniserpentilla,SUP05_cluster,Alteromonadales,Halieaceae,Shewanella,Cycloclasticus,Pseudomonas,unknown_Gammaproteobacteria,Marine_Methylotrophic_Group_3,Ectothiorhodospiraceae,Dasania,Pseudoalteromonas
ECf11,0.017427803,8.35866E-05,0,0.000585106,4.17933E-05,0.000292553,0.00012538,0.00050152,0.000292553,0,0.001003039,0.001128419,0.009361698,0.000208966,0.002089665,0.001838905,0.000752279,4.17933E-05,0.019517468,0.000794073,0.000417933,0.001170212,0.015797865,0.000626899,0.028879165,0.001629938,0.016132211,0.018890568,0.00012538,0.000167173,0,0.246538635
bkMV,0.010580728,0,0,0,0,0.006760849,0,0.005543896,0,0,0.000608476,0,0.00023663,0.000507064,0.010952575,0.010445511,0.000304238,0.001859233,0.011053988,0.000777498,0.021533303,0.005070637,0.002704339,0.000135217,0.000473259,0.032046423,0.000202825,0.010208882,0,0.00023663,0,0.048103439
bkEC,0.016051756,0,0,3.56706E-05,0.000107012,0.000891764,3.56706E-05,0.007134114,3.56706E-05,3.56706E-05,0.000428047,0.008917642,0.000392376,0.000891764,0.001997552,0.006171009,0.005956985,0.000142682,0.005350585,7.13411E-05,0.000570729,0.011057877,0.012163664,0.000107012,0.000463717,0.003923763,0.000178353,0.006313691,3.56706E-05,0,0,0.303913256
bkEM,0.008320063,0,0,0,0,0.001372157,0,0.002831435,0,0,0.00080587,0,0.000413825,0.002069126,0.001393937,0.0112604,0.000326704,6.53408E-05,0.011499983,0.000348484,0.006316278,0.022825723,0.00483522,2.17803E-05,0.000196022,0.006512301,0.000849431,0.008341843,0,0,0,0.040467742
EMf3,0.006943396,0,0,0.001806589,2.17661E-05,0.000195895,6.52984E-05,0.000435323,4.35323E-05,0,0.000130597,0.000522387,4.35323E-05,6.52984E-05,0.000522387,0.000348258,0.001153605,2.17661E-05,0.000435323,0.000544153,4.35323E-05,0.000130597,0.009511799,0.000805347,0.000130597,0.000239427,0.000587686,0.006159815,2.17661E-05,0,0,0.390919718
EMf2,0.009794525,0,0,0.002106077,7.61233E-05,0.000101498,0.000152247,0.000279119,7.61233E-05,0,7.61233E-05,0.00390766,0.00022837,5.07488E-05,0.000101498,0.000608986,0.002994181,5.07488E-05,0.000279119,0.000126872,2.53744E-05,0.000279119,0.016823239,0.000431365,0.000304493,0.000152247,0.028723841,0.019335306,0,0.000202995,0,0.34009332
ECf9,0.018403179,0,0,0.000185891,0,0.00052669,0,0.000557672,0.000464727,0,0.001115344,0.000712581,0.002292652,0.000495709,0.00226167,0.003903705,0.011308351,0.000185891,0.00486414,0.000464727,0.000805526,0.006723047,0.01459242,0.000154909,0.001889889,0.003191124,0.013291185,0.010069079,0.000371781,0,0,0.270439981
EMf1,0.01083944,0,0,0.00123323,0,0.000324534,0,0.000454348,6.49068E-05,0,0.000324534,0.000649068,0.000908696,0.000356988,0.000941149,0.001492857,0.000811335,0,0.008405434,0.000551708,0.000129814,0.00123323,0.024632141,0.000778882,0.005225,0.000421894,0.052347357,0.0213868,3.24534E-05,0,0,0.367924354
EMf7,0.017927529,0,0,0.000690728,6.27934E-05,0.00018838,9.41902E-05,0.000470951,0.000156984,0,0.001255869,0.002166374,0.000156984,0.000376761,0.000533744,0.001883803,0.001507043,3.13967E-05,0.003139672,0.001758216,3.13967E-05,0.000784918,0.018869431,0.000784918,0.012558689,0.001287266,0.028037274,0.01686004,3.13967E-05,0,0,0.337043824
MVf12,0.007608516,0.000204255,0,0.000102128,0,0,0.000102128,0,0.001021277,5.10639E-05,0.000868086,0.001225533,5.10639E-05,0.000102128,0.00066383,0.000204255,0.000970213,5.10639E-05,0.000510639,0.001940427,0,5.10639E-05,0.011029795,0.000306383,0.000408511,0.008017027,0.012970222,0.00765958,0.089770278,0.001429788,0.000153192,0.14645117
